Expense Type,Sub-type,Purpose,Notes,Date of Sale,Location at Point of Sale,Country of Activity,City of Activity,Amount (USD),Code,
Travel,Hotel,"World Economic Forum conference attendance: ""Role of Big Data in Improving Security and Resilience to Catastrophic Events"" confernece. Also met with Dept. of Health and Human Services regarding uses of Ushahidi. Spent 1 afternoon workin with Rob on RNI website. ",Cheapest available via Hotwire,5/23/14,"Washington, D.C.",USA,"Washington, D.C.",855.32,RNI,
Travel,Ground Transportation,"World Economic Forum conference attendance: ""Role of Big Data in Improving Security and Resilience to Catastrophic Events"" confernece. Also met with Dept. of Health and Human Services regarding uses of Ushahidi. Spent 1 afternoon workin with Rob on RNI website. ",Taxi to airport,5/23/14,"Washington, D.C.",USA,"Washington, D.C.",75,RNI,
Travel,Meals,"World Economic Forum conference attendance: ""Role of Big Data in Improving Security and Resilience to Catastrophic Events"" confernece. Also met with Dept. of Health and Human Services regarding uses of Ushahidi. Spent 1 afternoon workin with Rob on RNI website. ",Lost all receipts but this one!,5/23/14,"Chantilly, VA",USA,"Washington, D.C.",8.36,RNI,
Travel,Ground Transportation,"World Economic Forum conference attendance: ""Role of Big Data in Improving Security and Resilience to Catastrophic Events"" confernece. Also met with Dept. of Health and Human Services regarding uses of Ushahidi. Spent 1 afternoon workin with Rob on RNI website. ",Gas to drive roundtrip to airport,5/24/14,"Athens, GA",USA,"Washington, D.C.",22.85,RNI,
Travel,Ground Transportation,Attending KNOW4DRR workshop,Airport Shuttle,5/25/14,"Athens, GA",Austria,Salzburg,72,RNI,
Travel,Hotel,Attending KNOW4DRR workshop,2 nights at Wolf Hotel,6/1/14,"Salzburg, Austria",Austria,Salzburg,204.69,RNI,
Travel,Airfare,RNI Website Work June 10-13,Paid for using Ushahidi frequent flyer points,6/5/14,Online,USA,"Washington, D.C.",0,RNI,
Travel,Hotel,RNI Website Work June 10-13,Paid for on another company card (3 nights Crowne Plaza in Arlington),6/5/14,"Arlington, VA",USA,"Washington, D.C.",300,RNI,
Services,Web services,Two templates for RNI,Paid for on another company card,6/10/14,Online,USA,"Washington, D.C.",20,RNI,
Services,Web services,URL for RNI,Paid for on another company card,6/12/14,Online,USA,"Washington, D.C.",80,RNI,
Travel,Airfare,Rockefeller Mtng in NYC,Arranged by Ushahidi,7/24/14,Online,USA,New York,630.2,RNI,
Travel,Ground Transportation,Rockefeller Mtng in NYC,Gas to drive roundtrip to airport,7/28/14,"Athens, GA",USA,New York,31.62,RNI,
Travel,Ground Transportation,Rockefeller Mtng in NYC,Ground transportation in NY.,7/28/14,New York,USA,New York,13,RNI,
Travel,Food,Rockefeller Mtng in NYC,Snack,7/28/14,New York,USA,New York,7.35,RNI,
